title,difficulty,category
"Fantastic Four (2005)",1,Movie,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom."
"Horton Hears a Who! (2008)",1,Movie,"Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists."
"Mad Max: Fury Road (2015)",1,Movie,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
"Jerry Maguire (1996)",1,Movie,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague."
"Trolls (2016)",1,Movie,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
"Scooby-Doo (2002)",1,Movie,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on."
"Cars 3 (2017)",1,Movie,"Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world."
"Sex and the City (2008)",1,Movie,"A New York City writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her."
"Runaway Bride (1999)",1,Movie,"A reporter is assigned to write a story about a woman who has left a string of fiancés at the altar."
"La La Land (2016)",1,Movie,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
"Divergent (2014)",1,Movie,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
"We're the Millers (2013)",1,Movie,"A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico."
"Terminator Rise of the Machines (2003)",1,Movie,"A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack."
"Daddy's Home (2015)",1,Movie,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns."
"G.I. Joe: The Rise of Cobra (2009)",1,Movie,"An elite military unit comprised of special operatives known as G.I. Joe, operating out of The Pit, takes on an evil organization led by a notorious arms dealer."
"Neighbors (2014)",1,Movie,"After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down."
"American Hustle (2013)",1,Movie,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
"Puss in Boots (2011)",1,Movie,"An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town."
"Sonic the Hedgehog (2020)",1,Movie,"After discovering a small, blue, fast hedgehog, a small-town police officer must help him defeat an evil genius who wants to do experiments on him."
"Les Misérables (2012)",1,Movie,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
"Knocked Up (2007)",1,Movie,"For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child."
"As Good as It Gets (1997)",1,Movie,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
"Little Fockers (2010)",1,Movie,"Family-patriarch Jack Byrnes wants to appoint a successor. Does his son-in-law, the male nurse Greg Focker, have what it takes?"
"Megamind (2010)",1,Movie,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world."
"Hotel Transylvania (2012)",1,Movie,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
"Talladega Nights: The Ballad of Ricky Bobby (2006)",1,Movie,"Number one NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
"Gran Torino (2008)",1,Movie,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 19Gran Torino."
"Lethal Weapon 2 (1989)",1,Movie,"Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities."
"War for the Planet of the Apes (2017)",1,Movie,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind."
"X-Men: First Class (2011)",1,Movie,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
"Paul Blart: Mall Cop (2009)",1,Movie,"When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day."
"True Lies (1994)",1,Movie,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
"Lilo & Stitch (2002)",1,Movie,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace."
"The Santa Clause (1994)",1,Movie,"When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place."
"The Meg (2018)",1,Movie,"A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon."
"American Pie 2 (2001)",1,Movie,"Jim and his friends are now in college, and they decide to meet up at the beach house for some fun."
"Taken (2008)",1,Movie,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
"The Great Gatsby (2013)",1,Movie,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
"I, Robot (2004)",1,Movie,"In 203a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
"Lethal Weapon 3 (1992)",1,Movie,"Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs."
"The Fast and the Furious (2001)",1,Movie,"Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy."
"Mamma Mia! (2008)",1,Movie,"The story of a bride-to-be trying to find her real father told using hit songs by the popular 197group ABBA."
"Doctor Dolittle (1998)",1,Movie,"A doctor discovers that he can communicate with animals."
"Pokémon Detective Pikachu (2019)",1,Movie,"In a world where people collect Pokémon to do battle, a boy comes across an intelligent talking Pikachu who seeks to be a detective."
"Rio (2011)",1,Movie,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
"Kung Fu Panda 3 (2016)",1,Movie,"Continuing his "legendary adventures of awesomeness", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home."
"Juno (2007)",1,Movie,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child."
"Marley & Me (2008)",1,Movie,"A family learns important life lessons from their adorable, but naughty and neurotic dog."
"The Smurfs (2011)",1,Movie,"When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City."
"Once Upon a Time... In Hollywood (2019)",1,Movie,"A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 19Los Angeles."
"xXx (2002)",1,Movie,"An extreme sports athlete, Xander Cage, is recruited by the government on a special mission."
"The Chronicles of Narnia: Prince Caspian (2008)",1,Movie,"The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian."
"Pocahontas (1995)",1,Movie,"An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia."
"A Few Good Men (1992)",1,Movie,"Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders."
"Slumdog Millionaire (2008)",1,Movie,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of "Who Wants to be a Millionaire?"."
"Rush Hour (1998)",1,Movie,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way."
"The Blair Witch Project (1999)",1,Movie,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind."
"Deep Impact (1998)",1,Movie,"A comet is discovered to be on a collision course with Earth. As doomsday nears, the human race prepares for the worst."
"Shazam! (2019)",1,Movie,"A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy."
"Ocean's Eight (2018)",1,Movie,"Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala."
"Rush Hour 3 (2007)",1,Movie,"After an attempted assassination on Ambassador Han, Lee and Carter head to Paris to protect a French woman with knowledge of the Triads' secret leaders."
"Stuart Little (1999)",1,Movie,"The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him."
"Taken 2 (2012)",1,Movie,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter."
"Sister Act (1992)",1,Movie,"When a nightclub singer is forced to take refuge from the mob in a convent, she ends up turning the convent choir into a soulful chorus complete with a Motown repertoire, until the sudden celebrity of the choir jeopardizes her identity."
"The Matrix Revolutions (2003)",1,Movie,"The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith."
"The Santa Clause 2 (2002)",1,Movie,"Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus."
"The King's Speech (2010)",1,Movie,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 193and the speech therapist who helped the unsure monarch overcome his stammer."
"Cheaper by the Dozen (2003)",1,Movie,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood."
"Bad Boys II (2003)",1,Movie,"Two loose-cannon narcotics cops investigate the flow of Ecstasy into Florida from a Cuban drug cartel."
"Platoon (1986)",1,Movie,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
"Jump Street (2012)",1,Movie,"A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring."
"Good Will Hunting (1997)",1,Movie,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
"Split (2016)",1,Movie,"Three girls are kidnapped by a man with a diagnosed distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."
"A Christmas Carol (2009)",1,Movie,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions."
"Dinosaur (2000)",1,Movie,"An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home."
"Ready Player One (2018)",1,Movie,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
"The Conjuring (2013)",1,Movie,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse."
"Click (2006)",1,Movie,"A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices."
"The Green Mile (1999)",1,Movie,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
"Ransom (1996)",1,Movie,"Multi-millionaire Tom Mullen's son is kidnapped, but after initially agreeing to pay the ransom Mullen then decides to use the ransom money as a bounty."
"Godzilla (1998)",1,Movie,"French nuclear tests irradiate an iguana into a giant monster that heads off to New York City. The American military must chase the monster across the city to stop it before it reproduces."
"Argo (2012)",1,Movie,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
"Anger Management (2003)",1,Movie,"Dave Buznik is a businessman who is wrongly sentenced to an anger management program, where he meets an aggressive instructor."
"Chicken Little (2005)",1,Movie,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion."
"Teenage Mutant Ninja Turtles (1990)",1,Movie,"Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas."
"Patch Adams (1998)",1,Movie,"The true story of a heroic man, Hunter "Patch" Adams, determined to become a medical doctor because he enjoys helping people. He ventured where no doctor had ventured before, using humour and pathos."
"The Godfather (1972)",1,Movie,"The Godfather follows Vito Corleone, Don of the Corleone family, as he passes the mantel to his unwilling son, Michael."
"Ride Along (2014)",1,Movie,"Security guard Ben must prove himself to his girlfriend's brother, top police officer James. He rides along James on a 24-hour patrol of Atlanta."
"The Incredible Hulk (2008)",1,Movie,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper."
"Live Free or Die Hard (2007)",1,Movie,"John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C."
"Wanted (2008)",1,Movie,"A frustrated office worker discovers that he is the son of a professional assassin, and that he shares his father's superhuman killing abilities."
"Identity Thief (2013)",1,Movie,"Mild mannered businessman Sandy Patterson travels from Denver to Florida to confront the deceptively harmless looking woman who has been living it up after stealing Sandy's identity."
"Superman (1978)",1,Movie,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero."
"The Rock (1996)",1,Movie,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco."
"Mission: Impossible III (2006)",1,Movie,"IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response."
"Grown Ups 2 (2013)",1,Movie,"After moving his family back to his hometown to be with his friends and their kids, Lenny finds out that between old bullies, new bullies, schizo bus drivers, drunk cops on skis, and four hundred costumed party crashers sometimes crazy follows you."
"Troy (2004)",1,Movie,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
"Angels & Demons (2009)",1,Movie,"Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church."
"Alvin and the Chipmunks: Chipwrecked (2011)",1,Movie,"Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems."
"Bringing Down the House (2003)",1,Movie,"When a lonely guy meets a woman on the internet who happens to be in prison, she breaks out to get him to prove her innocence, and proceeds to wreak havoc on his middle-class life."
"The Wolverine (2013)",1,Movie,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants."
"Wonder (2017)",1,Movie,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
"The Departed (2006)",1,Movie,"An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"Hulk (2003)",1,Movie,"Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry."
"Silver Linings Playbook (2012)",1,Movie,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
"Minority Report (2002)",1,Movie,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
"Fantastic Rise of the Silver Surfer (2007)",1,Movie,"The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus."
"The Last Airbender (2010)",1,Movie,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
"Rio 2 (2014)",1,Movie,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law."
"Lara Croft: Tomb Raider (2001)",1,Movie,"Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts."
"The Silence of the Lambs (1991)",1,Movie,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"The Flintstones (1994)",1,Movie,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness."
"Lethal Weapon 4 (1998)",1,Movie,"With personal crises and age weighing in on them, LAPD officers Riggs and Murtaugh must contend with deadly Chinese triads that are trying to free their former leaders out of prison and onto American soil."
"Get Smart (2008)",1,Movie,"Maxwell Smart, a highly intellectual but bumbling spy working for the CONTROL agency, is tasked with preventing a terrorist attack from rival spy agency KAOS."
"The Divergent Series: Insurgent (2015)",1,Movie,"Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side."
"The Peanuts Movie (2015)",1,Movie,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life."
"Transformers: The Last Knight (2017)",1,Movie,"A deadly threat from Earth's history reappears and a hunt for a lost artifact takes place between Autobots and Decepticons, while Optimus Prime encounters his creator in space."
"American Gangster (2007)",1,Movie,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
"American Beauty (1999)",1,Movie,"A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend."
"The Ring (2002)",1,Movie,"A journalist must investigate a mysterious videotape which seems to cause the death of anyone one week to the day after they view it."
"The Nutty Professor (1996)",1,Movie,"Grossly overweight yet good-hearted professor Sherman Klump takes a special chemical that turns him into the slim but obnoxious Buddy Love."
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006)",1,Movie,"Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world. With a documentary crew in tow, Borat becomes more interested in locating and marrying Pamela Anderson.                                                                                                         "
"Ghostbusters (2016)",1,Movie,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."
"Kingsman: The Secret Service (2014)",1,Movie,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
"Robots (2005)",1,Movie,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
"Crouching Tiger, Hidden Dragon (2000)",1,Movie,"A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation."
"Shutter Island (2010)",1,Movie,"In 195a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
"Into the Woods (2014)",1,Movie,"A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree."
"Rocky IV (1985)",1,Movie,"Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union."
"Enchanted (2007)",1,Movie,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
"The Curious Case of Benjamin Button (2008)",1,Movie,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
"Central Intelligence (2016)",1,Movie,"After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
"Anchorman The Legend Continues (2013)",1,Movie,"With the 1970s behind them, San Diego's top-rated newsman, Ron Burgundy, returns to take New York City's first twenty-four-hour news channel by storm."
"Sweet Home Alabama (2002)",1,Movie,"A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation."
"Bumblebee (2018)",1,Movie,"On the run in the year 198Bumblebee finds refuge in a junkyard in a small California beach town. On the cusp of turning 18 and trying to find her place in the world, Charlie Watson discovers Bumblebee, battle-scarred and broken."
"Dumb and Dumber (1994)",1,Movie,"After a woman leaves a briefcase at the airport terminal, a dumb limo driver and his dumber friend set out on a hilarious cross-country road trip to Aspen to return it."
"2 Fast 2 Furious (2003)",1,Movie,"Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself."
"My Best Friend's Wedding (1997)",1,Movie,"When a woman's long-time friend reveals he's engaged, she realizes she loves him herself and sets out to get him, with only days before the wedding."
"Super 8 (2011)",1,Movie,"During the summer of 197a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
"The World Is Not Enough (1999)",1,Movie,"James Bond uncovers a nuclear plot while protecting an oil heiress from her former kidnapper, an international terrorist who can't feel pain."
"Sleepless in Seattle (1993)",1,Movie,"A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner."
"Lucy (2014)",1,Movie,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
"The Legend of Tarzan (2016)",1,Movie,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
"Bee Movie (2007)",1,Movie,"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue them."
"Prometheus (2012)",1,Movie,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
"Safe House (2012)",1,Movie,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge."
"Mr. Deeds (2002)",1,Movie,"A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way."
"The Truman Show (1998)",1,Movie,"An insurance salesman discovers his whole life is actually a reality TV show."
"Erin Brockovich (2000)",1,Movie,"An unemployed single mother becomes a legal assistant and almost single-handedly brings down a California power company accused of polluting a city's water supply."
"Ocean's Twelve (2004)",1,Movie,"Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's Eleven."
"Terminator Salvation (2009)",1,Movie,"In 201a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?"
"Charlie's Angels (2000)",1,Movie,"Three women, detectives with a mysterious boss, retrieve stolen voice-ID software, using martial arts, tech skills, and sex appeal."
"Tomorrow Never Dies (1997)",1,Movie,"James Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage."
"Ghostbusters: Afterlife (2021)",1,Movie,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
"Lone Survivor (2013)",1,Movie,"Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 200Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
"Sully (2016)",1,Movie,"When pilot Chesley "Sully" Sullenberger lands his damaged plane on the Hudson River in order to save the flight's passengers and crew, some consider him a hero while others think he was reckless."
"The Vow (2012)",1,Movie,"A car accident puts Paige in a coma, and when she wakes up with severe memory loss, her husband Leo works to win her heart again."
"Life of Pi (2012)",1,Movie,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
"The Fault in Our Stars (2014)",1,Movie,"Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam."
"Cloudy with a Chance of Meatballs (2009)",1,Movie,"A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst."
"The Devil Wears Prada (2006)",1,Movie,"A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine."
"Something's Gotta Give (2003)",1,Movie,"A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age."
"Traffic (2000)",1,Movie,"A conservative judge is appointed by the President to spearhead America's escalating war against drugs, only to discover that his teenage daughter is a crack addict. Two DEA agents protect an informant. A jailed drug baron's wife attempts to carry on the family business."
"The Birdcage (1996)",1,Movie,"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents."
"City Slickers (1991)",1,Movie,"On the verge of turning 4an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest."
"Rango (2011)",1,Movie,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
"Nutty Professor II: The Klumps (2000)",1,Movie,"Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love."
"The Good Dinosaur (2015)",1,Movie,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
"G.I. Joe: Retaliation (2013)",1,Movie,"The G.I. Joes are not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence."
"Clear and Present Danger (1994)",1,Movie,"CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel."
"The Hunt for Red October (1990)",1,Movie,"In November 198the Soviet Union's best submarine captain, in a new undetectable sub, violates orders and heads for the U.S. The American CIA and military must quickly determine: Is he trying to defect, or to start a war?"
"The Bodyguard (1992)",1,Movie,"A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
"Wayne's World (1992)",1,Movie,"Two slacker friends try to promote their public-access cable show."
"The Bourne Identity (2002)",1,Movie,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
"Free Guy (2021)",1,Movie,"A bank teller discovers that he's actually an NPC inside a brutal, open world video game."
"Superbad (2007)",1,Movie,"Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry."
"Speed (1994)",1,Movie,"A young police officer must prevent a bomb exploding aboard a city bus by keeping its speed above mph."
"First Dates (2004)",1,Movie,"Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day."
"Mamma Mia! Here We Go Again (2018)",1,Movie,"Five years after the events of Mamma Mia!, Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
"Inglourious Basterds (2009)",1,Movie,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
"Seabiscuit (2003)",1,Movie,"True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation."
"Van Helsing (2004)",1,Movie,"The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes."
"Four Christmases (2008)",1,Movie,"A couple struggles to visit all four of their divorced parents on Christmas."
"I Now Pronounce You Chuck & Larry (2007)",1,Movie,"Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits."
"The Mask (1994)",1,Movie,"Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask."
"Cloudy with a Chance of Meatballs 2 (2013)",1,Movie,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids."
"Hook (1991)",1,Movie,"When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy."
